sentence,processing_sentence
고객요청사항청소한뒤로 계속  시시로 수신불상태가된다고하심애기데리러오후시반쯤나가야된다고 가능한 빠른수리독촉도하심회선단말특이사항진단결과기타추가연락처,고객 요청사항 청소한 뒤로 계속 시시로 수신 불 상태가 된다고 하심 아기 데리러 오후 시 반쯤 나가야 된다고 가능한 빠른 수리 독촉도 하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무고객요청사항  임의회선  로딩중에서 멈춰있음 회선단말특이사항진단결과기타추가연락처,코로나 이 상무 고객 요청사항 임의회 선 로딩 중에서 멈춰 있음 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청연령제한 비번 초기화해서 비밀번 눌러도 틀리다고 나옴회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 연령 제한 비번 초기화해서 비밀 번 눌러도 틀리다고 나옴 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨 안됨버튼이 눌려져 있어서 오작동접수보류  사용해보고 불편하면 재접수하신다심 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 안됨 버튼이 눌려져 있어서 오작동 접수 보류 사용해보고 불편하면 재 접수하신 다심 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항시청불회선단말특이사항진단결과기타추가연락처인입,코로나 이 상무 재확인 필 고객 요청사항 시청 불회선 단말 특이사항 진단 결과 기타 추가 연락처인 입
고객요청사항 안나옴네트워크오류모뎀에 빨간불들어옴포트리셋빠른방문건없어 양해구하고 접수하니 조정가능할시 최대한 빠른방문바랍니다회선단말특이사항진단결과기타추가연락처,고객 요청사항 안 나옴 네트워크 오류 모뎀에 빨간불 들어옴 포트 리셋 빠른 방문 전 없어 양해 구하고 접수하니 조정 가능할 시 최대한 빠른 방문 바랍니 다 회선 단말 특이사항 진단 결과 기타 추가 연락처
빠른방문요고객요청사항화면안나옴티비두대코로나 이상무 재확인필회선단말특이사항진단결과모뎀비정상기타추가연락처인,빠른 방문요 고객 요청사항 화면 안 나 옴이 비 두 대 코로나 이 상무 재확인 필 회선 단말 특이사항 진단 결과 모뎀 비정상 기타 추가 연락처인
채팅전원익일오후시접수함 연후방기본추가,채팅 전 원익일 오후 시 접수함 연 후방 기본 추가
고객요청사항 큰방쪽 나왔다가 안나왔다가 반복함회선단말특이사항진단결과기타추가연락처,고객 요청사항 큰 방 쪽 나왔다가 안 나왔다가 반복 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불수신불량 연후방 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불수산 불량 연후방 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항평소 리모콘 채널 상하버튼만 자주 안됨페어링은 정상배송등록함회선단말특이사항진단결과기타추가연락처,고객 요청사항 평소 리모컨 채널 상하 버튼만 자주 안됨 페어링은 정상 배송 등록함 회선 단말 특이사항 진단 결과 기타 추가 연락처
독촉코로나이상무고객요청사항안방시청안됨회선단말특이사항진단결과기타추가연락처연후 빠른점검요취소건 있으면 빠른점검요연,독촉 코로나 이 상무 고객 요청사 항 안방 시청 안됨 회선 단말 특이사항 진단 결과 기타 추가 연락처 연후 빠른 점검요 취소 건 있으면 빠른 점검요 연
연점검이후화면안나옴화질이상,연 점검 이후 화면 안 나 온 화질이 상
고객요청사항인터넷  사용불회선단말특이사항진단결과기타추가연락처,고객 요청사항 인터넷 사용 불회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항대 수신불수신카드오류장비리셋해도 동일하다심코로나안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 대 수신 불수산 카드 오류 장비 리셋해도 동일하다 심코로나 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항안됨 회선단말특이사항진단결과기타추가연락처,고객 요청사 항 안됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불셋탑전원안켜짐부재중시 반 이전에 방문가능하면 방문도 요청 새장비및 어댑터 문앞에 놔달라고 하심한번 더 고장나면 셋탑을 깨트린다고 함회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 뿔 셋 탑 전원 안 켜짐 부재 중시 반 이전에 방문 가능하면 방문도 요청 새 장비 및 어댑터 문 앞에 놔달라고 하심 한 번 더 고장 나면 셋탑을 깨트린다고 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항   시시 화면이 깨져서 시청됨오래되었다고 하니 교체요청미리연락후방문시간  참고 ,요청사항 시 시 화면이 깨져서 시청 됨 오래되었다고 하니 교체 요청 미리 연락 후 방문 시간 참고
고객요청사항기가지니전원불없음 전원선재연결동일회선단말특이사항진단결과기타추가연락처,고객 요청사항기가 지니 전원 불 없음 전원 선재 연결 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청중 화면에 배터리부족 팝업창 뜸배터리 교체후 장비재부팅후 동일,고객 요청사항 시청 중 화면에 배터리 부족 팝업창 뜸 배터리 교체 후 장비 재부팅 후 동일
서비스번고객명권혜라연락처요청내용잦은고장불만극심화질이상이번달에도 열버너 점검받아보심해결이 안됨으로 현장 책임자 통화요청,서비스 번 고객 명권혜라 연락처 요청 내용 잦은 고장 불만 극심 화질 이상 이번 달에도 열 버너 점검받아 보심 해결이 안 됨으로 현장 책임자 통화 요청
고객요청사항수신불네트워크오류회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 회선 단말 특이사항 진단 결과 기타 추가 연락처
화질이상한대만 화면이 어둡게 나옴리셋만 접수는보류,화질이 상한 대만 화면이 어둡게 나 옴니 셋만 접수는 보류
고객요청사항티비 한 대만 넷플릭스 시청 안됨고객측 의뢰  넷플릭스 미지원 셋탑임 안내도 함회선단말특이사항진단결과기타추가연락처,고객 요청사항 티브이 한 대만 넷플릭스 시청 안됨 고객 측 의뢰 넷플릭스 미지원 셋탑임 안내도 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 거실티비 시청중 화면이 초정도씩 까맣게 꺼졌다 나옴한달 정도 되었다고함 거실 지니 출시 대답없고 안방지니는 대답을 한다고문의출시 띵반응음으로 순차 업데이트중임 안내 수긍,고객 요청사항 거실 티브이 시청 중 화면이 초정도 씩 까맣게 꺼졌다 나옴 한 달 정도 되었다고 함 거실 지니 출시 대답 없고 안방 지니는 대답을 한다고 문의 출시 띵 반은 음으로 순차 업데이트 중임 안내 수긍
화질이상화면이깨짐재부팅안내정상시청됨,화질 이상 화면이 깨짐 재부팅 안내 정상 시청됨
수신불    올인홈정상  재부팅후 동일코로나 무,수신 불 올인 홈 정상 재부팅 후 동일 코로나 무
연고객요청사항 화면불소리만나옴포트리셋코로나이상무  시회선단말특이사항진단결과기타추가연락처,연 고객 요청사항 화면 물소리만 나옴 포트 리셋 코로나 이상 무 시여 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불무출동회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 수신 불무 출동 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항시청중꺼짐재부팅기가지니전원소등빠른점검요 코로나 이상무회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 중 꺼짐 재부팅기가 지니 전원 소 등 빠른 점검요 코로나 이 상무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 접수보류회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 접수 보류 회선 단말 특이사항 진단 결과 기타 추가 연락처
거실 리모콘 셋탑쪽만 안됨셋탑리붓잘됨회선단말특이사항진단결과기타추가연락처,거실 리모컨 셋 탑 쪽만 안됨 셋탑 리부트 잘 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 재부팅후 정상 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 재부팅 후 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나 이상무 재확인필고객요청사항회선단말특이사항티비 수신카드불진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 회선 단말 특이사항 티브이 수신카드 불지는 단 결과 정상기 타 추가 연락처
고객요청사항수신불리셋만 요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불리 셋만 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불 변경실패 장비리셋동일 회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 시청 불 변경 실패 장비니 셋 동일 회선단 말이 특이 사항 진단 결과 정상기 타 추가 연락처
수신카드오류 수신불카스전송후정상,수신카드 오류 수신 불 카스 전송 후 정상
고객요청사항용수평  수신불 셋탑재부팅후 정상,고객 요청사 항용 수평 수신 불 셋탑재 부팅 후 정상
고객요청사항시청불연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청안됨재부팅후 사용회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 안됨 재부팅 후 사용 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항음성안나옴장비리셋후 정상회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 음성은 나 옴자 비리 셋 후 정상 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항수신불와이파이 검색하고 있다상담중 사용됨회선단말특이사항진단결과기타추가연락처인,고객 요청사항 수신 불 와이파이 검색하고 있다 상담 중 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처인
고객요청사항수신불채널변경 할때 한참있다가 움직이는 증상도 자주있다고 함회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 부을 채널 변경할 때 한참 있다가 움직이는 증상도 자주 있다고 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
연시청불포트리셋인터넷연결장비재부팅안내,현 시청 불포트리셋인터넷 연결 장비 재부팅 안내
코로나이상무재확인필독촉비는시간있을시최대한빠른방문요청고객요청사항시청불회선단말특이사항댁내배선점검필요뜨며시청불진단결과케이블다운기타추가연락처인입,코로나 이 상무 재확인 필 독 촉이는 시간 있을 시 최대한 빠른 방문 요청 고객 요청사항 시청 불회선 단말 특이사항 댁내 배선 점검 필요 뜨며 시청 불지는 단 결과 케이블 다운기 타 추가 연락처인 입
독촉고객요청사항수신불케이블다운회선단말특이사항진단결과기타추가연락처,독촉 고객 요청사항 수신 불 케이블 다운 회선 단말 특이사항 진단 결과 기타 추가 연락처
삼성쪽 모니터쪽 아무런반응없음 쪽문의토록 안내드림,삼성 쪽 모니터 쪽 아무런 반응 없음 쪽 문의토록 안 내드림
요청사항   대 수신불네트워크오류미리연락후방문시간  빠른방문원함참고 ,요청사항 대 수신 불 네트워크 오류 미리 연락 후 방문 시간 빠른 방문 원함 참고
용수평고객요청사항안됨 인터넷연결오류  회선단말특이사항진단결과기타추가연락처,용수평 고객 요청사 항 안됨 인터넷 연결 오류 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불네트워크오류회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 수신 불 네트워크 오류 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
연고객요청사항대중대수신불인터넷연결 원할하지않다고나옴재부팅안내최대한빨리방문요코로나이상무셋탑교체해야한다고했었다함회선단말특이사항진단결과기타추가연락처,연 고객 요청사항 대중 대 수신불인터넷 연결 원활하지 않다고 나옴 재부팅 안내 최대한 빨리 방문 요코로나 이 상무 셋탑 교체해야 한다고 했었다 한 회선 단말 특이사항 진단 결과 기타 추가 연락처
방문독촉취소건 등 있으면 당겨서 방문요청고객요청사항수신불포트리셋회선단말특이사항진단결과비정상기타추가연락처,방문 독촉 취소 건 등 있으면 당겨서 방문 요청 고객 요청사항 수신 불 포트리 셋 회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
고객요청사항리모컨고장작동불버튼이눌려져잇어 안됨 문자는이미받으심가게 술집이라 오픈시간저녁 시라고 마지막타임으로 방문요청가게라서 가능한빠른날로 수리독촉도하심회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 고장 작동 볼 버튼이 눌려져 있어 안됨 문자는 이미 받으심 가게 술집이라 오픈 시간 저녁 시라고 마지막 타임으로 방문 요청 가게라서 가능한 빠른 날로 수리 독촉도 하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화면안나옴음성정상리셋후 리콜했으나 통화안되어 문자발송보류,고객 요청사항 화면 안 나옴 음성 정상리 셋 후 리콜했으나 통화 안 되어 문자 발송 보류
고객요청사항  대기가지니 넷플릭스만 안됨리셋  재부팅 안내후 정상회복됨,고객 요청사항 대기가 지니 넷플릭스만 안 됨리셋 재부팅 안내 후 정상 회복됨
고객요청사항수신불회선전검요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 전 검 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불무출동회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불무 출동 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항임의접속끊김접수보류회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 접속 끊김 접수 보류 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 시 사이 점검희망   수시 시청불스트림 에러 나옴모든장비 재부팅 안내회선단말특이사항진단결과기타추가연락처 ,고객 요청사항 시 사이 점검 희망 수시 시청 불 스트림 에러 나 옴 모든 장비 재부팅 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불장비리셋 후 동일하다심코로나안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불장 비리 셋 후 동일하다 심코로나 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불모든장비재부팅안내포트리셋건물 정전 후 안된다심회선단말특이사항진단결과 정상기타추가연락처,고객 요청사항 수신 불 모든 장비 재부팅 안내 포트 리셋 건물 정전 후 안 된다 심해선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항 안방  네트워크오류회선단말특이사항진단결과기타추가연락처,고객 요청사항 안방 네트워크 오류 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 네트워크오류 연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
 거실한대안나옴기가지니스트림에러세톱박스리셋후 복구됨,거실 한 대안 나옵기가 지니스 트림 에러 세톱박스 리셋 후 복구됨
고객요청사항리모콘안됨음량이 으로 되고 불이 계속 들어옴방문원함회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 안됨 음량이므로 되고 불이 계속 들어옴 방문 원함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불 모뎀비정성회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 모뎀 비정 성회 선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불 네트워크오류회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 오류 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항안나옴거실올레만나옴안방안나옴날씨이상무코로나이상무재송출회선단말특이사항진단결과올인홈모뎀정상기타추가연락처,고객 요청사 항 안 나 온 거실 올레 만나 옴안 방안 나옴 날씨 이상 무고로 나 이 상무대 송출 회선 단말 특이사항 진단 결과 올인 홈 모뎀 정상기 타 추가 연락처
고객요청사항  수신불 전원안켜짐시방문요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 전원 안 켜짐 시 방문 요청회 선 단말 특이사항 진단 결과 기타 추가 연락처
임의회선 티비 셋탑전원안들어옴일오후안내함,임 의회 선 티브이 셋 탑 전 원안 들어옴일 오후 안내함
리모컨작동불대리인확인버튼 재부팅안내배송접수,리모컨 작동 부을 대리인 확인 버튼 재부팅 안내 배송 접수
고객요청사항수신불가입하신 패키지에서 시청할수 없다시청권한 카스 재전송후 사용됨회선단말특이사항진단결과기타추가연락처인,고객 요청사항 수신 불개입하신 패키지에서 시청할 수 없다 시청 권한 카스 재전송 후 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처인
일시안내안됨재부팅해도 안됨인터넷연결오류뜬다고함올인홈정상,일시 안내 안됨 재부팅해도 안됨 인터넷 연결 오류 뜬다고 한 올 인 홈 정상
코로나이상무재확인필고객요청사항시청불회선단말특이사항임의안방리셋해도동일진단결과기타추가연락처인입,코로나 이 상무 재확인 필 고객 요청사항 시청 불회선 단말 특이사항 임의 안방 리셋해도 동일 진단 결과 기타 추가 연락처인 입
영업장 독촉고객요청사항 수신불량 회선단말특이사항진단결과기타추가연락처,영업장 독촉 고객 요청사항 수신 불량 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
독촉심고객요청사항임의끊김시시때때꼼꼼점검요청분마다 끊긴다고함세입자가 가입자쪽으로 연락해 많이 불편하다고하심회선단말특이사항진단결과기타추가연락처,독촉 심 고객 요청사항 임의 끊김 시시 때때 꼼꼼 점검 요청 분마다 끊긴다고 함 세입자가 가입자 쪽으로 연락해 많이 불편하다고 하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
방문독촉취소건 등 있으면 당겨서 방문요청고객요청사항안방 수신불포트리셋회선단말특이사항진단결과정상기타추가연락처,방문 독촉 취소 건 등 있으면 당겨서 방문 요청 고객 요청사 항 안방 수신 불 포트리 셋 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
  일시  수신불 신없음 거실티비 방에티비 번갈아가며 안나옴,일시 수신 불 신 없음 거실 티브이 방에 티브이 번갈아가며 안 나옴
음성 안나옴 재부팅후 정상,음성 안 나옴 재부팅 후 정상
고객요청사항  시청불인터넷 연결 오류 나옴모든장비 재부팅 안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불이 인터넷 연결 오류 나 옴 모든 장비 재부팅 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 신미약회선단말특이사항진단결과기타추가연락처,고객 요청사항 신미약 회선 단말 특이사항 진단 결과 기타 추가 연락처
용수평요청사항    수신불꼭 지참해서 점검요청미리연락후방문시간  빠른방문원함참고 ,용수평 요청사항 수신불 꼭 지 참해서 점검 요청 미리 연락 후 방문 시간 빠른 방문 원함 참고
고객요청사항셋탑전원안들어옴손을떼면 전원이꺼져버림 수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋 탑 전 원안 들어 온 손을 떼면 전원이 꺼져버림 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
넷플릭스실행안됨재부팅해도동일당일미납정지예정으로고장접수하더라도미납정지중에는 수리어려움안내수납센터  안내,넷플릭스 실행 안됨 재부팅해도 동일 당일 미납 정지 예정으로 고장 접수하더라도 미납 정지 중에는 수리 어려움 안내 수납 센터 안내
최대한 빠른방문요청일 시티비수신불코로나무올인원정상티비소리만나고 화면안나옴넷플릭스 무한로딩,최대한 빠른 방문 요청일 시티 비수신 불 코로나무 올인원 정상 티브이 소리 만나고 화면 안 나옴 넷플릭스 무한 로딩
고객요청사항리모컨작동불가직영점안내플레이문자발송회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불가 직영점 안내 플레이 문자 발송 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불 리셋만 보류,수신 불 리셋만 보류
고객요청사항용수평  수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사 항용 수평 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 시청되나 채널시청시 네트워크오류뜸세톱박스리셋인터넷정상사용되나 스마트에 직접인터넷연결시 넷플릭스유투브등 인터넷기능 사용안된다하여 고객측의뢰함회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 되나 채널 시청 시 네트워크 오류 뜸 세톱박스 리셋 인터넷 정상 사용되나 스마트에 직접 인터넷 연결 시 넷플릭스 유튜브 등 인터넷 기능 사용 안 된다 하여 고객 측 의뢰함 회선 단말 특이사항 진단 결과 기타 추가 연락처
안심권유리셋기술리콜기가지니리모콘작동불특정버튼안들어고작동불배송요청배송접수함,안심권 우리 셋 기술 리콜기가 지니 리모컨 작동 불특정 버튼 안 들어 고작 동 불 배송 요청 배송 접수함
고객요청사항수신불선재연결동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불선재 연결 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
연고객요청사항 수신불인터넷연결오류장비리셋안내코로나이상무최대한빨리방문요회선단말특이사항진단결과기타추가연락처,연 고객 요청사항 수신불인터넷 연결 오류 장 비리 셋 안내 코로나 이상무 최대한 빨리 방문이 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무  재확인필고객요청사항채널변경지연채널변경떄도떄떄로 변경안도니다심전원리셋회선단말특이사항진단결과진단 정상기타추가연락처인  ,코로나 이 상무 재확인 필 고객 요청사항 채널 변경 지연 채널 변경 때도 때때로 변경안 도니 다심 전 원리니 셋 회선단 말이 특이 사항 진단 결과 진단 정상기 타 추가 연락처인
고객요청사항수신불두대중한대안됨회선단말특이사항진단결과기타추가연락처방문전 미리연락요청,고객 요청사항 수신 불두 대중한 대 안됨 회선 단말 특이사항 진단 결과 기타 추가 연락 처 방문 전 미리 연락 요청
수신불수신카드오류재전송후 정상사용됨,수신 불수산 카드 오류 재전송 후 정상 사용됨
최대한빠른방문일 시수신불올인홈포트비정상코로나이상무,최대한 빠른 방문일 시 수신불올인 홈 포트 비정상 코로나 이 상무
리모컨 고장  택배배송 등록,리모컨 고장 택배 배송 등록
티비수신불 일오전시안내함 재부팅안내함,티브이 수 신불 일 오전 시안 내함 재부팅 안내함
고객요청사항 리모콘안됨음량이 으로 됨리모콘에 불이 계속 들어옴방문원함회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 안됨 음량이므로 됨 리모컨에 불이 계속 들어옴 방문 원함 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항넷플리스안됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 넷플리스 안됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항기가지니 빨간색 불 및 터치기능 불회선단말특이사항리셋 후 동일진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항기가 지니 빨간색 불 및 터치 기능 불회선 단말 특이사항 리셋 후 동일 진단 결과 정상기 타 추가 연락처
고객요청사항수신불 리셋동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 리셋 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
요청사항   시시 화면이 깨져서 시청됨꼭 지참해서 점검요청미리연락후방문시간  참고 ,요청사항 시 시 화면이 깨져서 시청됨 꼭 지 참해서 점검 요청 미리 연락 후 방문 시간 참고
고객요청사항 화질이상 음성정상 장비리셋후 정상회선단말특이사항진단결과기타추가연락처,고객 요청사항 화질 이상 음성 정상 장비니 셋 후 정상 회선 단말 특이사항 진단 결과 기타 추가 연락처
리콜 리모컨작동안됨 들어옴 리셋동일 수동조작가능 직영매장방문교체안내,리콜 리모컨 작동 안 됨 들어옴 리셋 동일 수동 조 작 가능 직영매장 방문 교체 안내
   수신불수신카드오류바코드확인 카스재송출재부팅동일 코로나 무,수신 불수산 카드 오류 바코드 확인 카스 재송 출재 부팅 동일 코로나 무
고객요청사항시청불 신미약 날씨영향없음 장비리셋동일 회선단말특이사항진단결과정상 기타추가연락처,고객 요청사항 시청 불 신미약 날씨 영향 없음 장비 리셋 동일 회선단 말이 특이 사항 진단 결과 정상 기타 추가 연락처
리모컨작동불가본인매장안내함통합설정어플,리모컨 작동 불가 본인 매장 안내함 통합 설정 어플
티비수신불일 시코로나무올인원정상,티브이 수 신불일 시고로 나무 올인원 정상
독촉빠른방문요청고객요청사항임의 대 시청불대는 리모컨 작동 안됨코로나안내회선단말특이사항진단결과기타추가연락처,독촉 빠른 방문 요청 고객 요청사항 임의 대 시청 불대는 리모컨 작동 안 됨 코로나 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항대 시청불리셋잦은고장꼼꼼점검요청회선단말특이사항코로나이상무재확인필진단결과   기타추가연락처,고객 요청사항 대 시청 불 리셋 잦은 고장 꼼꼼 점검 요청 회선 단말 특이사항 코로나 이 상무 재확인 필진단 결과 기타 추가 연락처
연고객요청사항대중대만확인 수신불인터넷연결오류포트리셋코로나이상무회선단말특이사항진단결과망구성도모뎀비정상기타추가연락처,연 고객 요청사항 대중 대만 확인 수신불인터넷 연결 오류 포트 리셋 코로나 이 상무 회선 단말 특이사항 진단 결과 망 구성도 모뎀 비정상기 타 추가 연락처
고객요청사항 한대안나옴기가지니시청모드외부입력확인세톱박스리셋회선단말특이사항진단결과기타추가연락처,고객 요청사항 한 대안 나옵기가 지니 시청 모드 외부 입력 확 트인 세톱박스 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
용수평고객요청사항오늘새로입주수신불셋탑뒤 위성안테나선을 건들면 나오고안나오고한다고점검요위치이동없음집에없으니 미리연락달라고하심회선단말특이사항진단결과기타추가연락처,용수평 고객 요청사항 오늘 새로 입주 수신 불셋탑 뒤 위성안테나선을 건들면 나오고 안 나오고 한다고 점검요 위치 이동 없을 집에 없으니 미리 연락 달라고 하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
안심권유리셋기술리콜기가지니리모콘작동불안들어옴배송요청배송접수함,안심권 우리 셋 기술 리콜기가 지니 리모컨 작동 불안 들어 옴배송 요청 배송 접수함
고객요청사항수신불외부입력조정셋탑 재부팅정상이용됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 외부 입력 조정 셋탑 재부팅 정상 이용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항화면끊김 오후시요청함회선단말특이사항진단결과기타추가연락처,고객 요청사항 화면 끊김 오후 시 요청함 회선 단말 특이사항 진단 결과 기타 추가 연락처
시 분이후 방문요청 고객요청사항  전원 이상  장비 리셋 동일 회선단말특이사항진단결과기타추가연락처,시 분 이후 방문 요청 고객 요청사항 전원 이상 장비 리셋 동일 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
재독촉김충상팀장님 전달함  고객 시 이후만 점검 가능하셔서 일 야간으로 접수됨 고객요청사항수신불 기가지니  퍽소리나고  전원안켜짐 코로나이상무 재 독촉 팀장님께 전달 회선단말특이사항진단결과셋탑 정상 기타추가연락처김충상팀장요청취소후재접수,재독촉 김 충 싱 팀장님 전달함 고객 시 이후 만 점검 가능하셔서 일 야간으로 접수됨 고객 요청사항 수신 불 기가 지니 퍽 소리나 고 전원 안 켜짐 코로나 이 상무 재 독촉 팀장님께 전달 회선단 말이 특이 사항 진단 결과 셋탑 정상 기타 추가 연락처 김 충 싱 팀장 요청 취소 후 재접수
고객요청사항수신불일 개통건으로 최대한 빠른 점검요청,고객 요청사항 수신 불일 개통 건으로 최대한 빠른 점검 요청
고객요청사항 안됨기타추가연락처연후방,고객 요청사항 안 됨이 타 추가 연락처 연후방
고객요청사항시청불전원불안들어옴코로나안내회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불전원 불안 들어옴 코로나 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불같은고장으로 여러차례받아도 동일증상으로 불만심원인해결요청회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불같은 고장으로 여러 차례 받아도 동일 증상으로 불만 심원인 해결 요청 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불기가지니 셋탑 전원 빨간불 고정셋탑 부전원 고장 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불기가 지니 셋탑 전원 빨간불 고정 셋탑 부전원 고장 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
티비수신불 재부팅안내함 ,티브이 수 신불 재부팅 안내함
